FID IID PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
MAYO_22680 MAYO_22680 -0.0093 -0.0082 -0.0002 0.0139 -0.0179 -0.0129 -0.0081 0.0371 -0.0334 0.0272
MAYO_23185 MAYO_23185 -0.0045 -0.0087 -0.0065 0.0079 -0.0120 -0.0049 0.0035 0.0012 -0.0127 0.0133
MAYO_23188 MAYO_23188 -0.0141 0.1550 0.0098 0.0450 -0.0079 -0.0097 0.0035 0.0831 -0.1000 0.0804
MAYO_23305 MAYO_23305 -0.0093 0.1565 -0.0277 -0.0028 -0.0111 -0.0376 0.0132 0.0194 -0.0242 -0.0138
MAYO_23350 MAYO_23350 -0.0184 0.0002 -0.0039 0.0077 -0.0093 -0.0086 0.0010 0.0259 0.0316 -0.0050
MAYO_234902 MAYO_234902 -0.0045 -0.0064 -0.0056 0.0050 0.0011 0.0113 0.0181 -0.0065 0.0114 -0.0089
MAYO_23559 MAYO_23559 -0.0160 -0.0051 0.0046 0.0016 -0.0064 -0.0069 -0.0009 0.0526 0.0052 0.0094
MAYO_23624 MAYO_23624 -0.0111 -0.0105 -0.0013 0.0072 -0.0005 0.0035 -0.0096 0.0236 0.0025 0.0131
MAYO_23773 MAYO_23773 -0.0048 -0.0051 0.0003 0.0026 0.0086 0.0327 0.0193 0.0090 -0.0031 0.0197
MAYO_2387 MAYO_2387 -0.0130 -0.0073 -0.0029 -0.0063 0.0014 0.0050 -0.0151 -0.0634 0.0080 0.0709
MAYO_24068 MAYO_24068 -0.0119 -0.0086 0.0011 0.0022 0.0095 -0.0063 -0.0180 -0.0038 0.0132 0.0008
MAYO_242259 MAYO_242259 -0.0020 -0.0053 0.0048 -0.0062 -0.0026 0.0051 0.0077 -0.0102 -0.0306 -0.0062
MAYO_24260 MAYO_24260 -0.0158 -0.0065 0.0201 0.0111 0.0023 -0.0082 -0.0081 0.0488 0.0268 0.0009
MAYO_24587 MAYO_24587 -0.0150 0.1513 -0.0208 0.0097 -0.0212 -0.0440 0.0113 0.0257 0.0154 -0.0199
MAYO_246678 MAYO_246678 -0.0048 -0.0061 -0.0057 -0.0013 -0.0135 -0.0087 0.0093 -0.0074 0.0033 0.0272
